feature,model,mse
MedInc,LinearRegression,0.7091157771765548
MedInc,Ridge,0.7091144941768212
MedInc,RandomForest,0.9389558598102014
MedInc,GradientBoosting,0.6967503528539905
MedInc,kNN,0.9715747009576429
HouseAge,LinearRegression,1.2939617265100323
HouseAge,Ridge,1.2939618809330118
HouseAge,RandomForest,1.2882741586365167
HouseAge,GradientBoosting,1.286145864506639
HouseAge,kNN,1.7002091409611264
AveRooms,LinearRegression,1.29233144408073
AveRooms,Ridge,1.292329770141638
AveRooms,RandomForest,1.6118628058194462
AveRooms,GradientBoosting,1.1065907750918103
AveRooms,kNN,1.5223481143985502
AveBedrms,LinearRegression,1.3108875538359483
AveBedrms,Ridge,1.3108871188325173
AveBedrms,RandomForest,1.7967500687826334
AveBedrms,GradientBoosting,1.3020195741363658
AveBedrms,kNN,1.818761340174848
Population,LinearRegression,1.3102870667503983
Population,Ridge,1.3102870388702301
Population,RandomForest,1.5473952021756736
Population,GradientBoosting,1.313687142340519
Population,kNN,1.6659221678904657
AveOccup,LinearRegression,1.3096449354773076
AveOccup,Ridge,1.309644998226686
AveOccup,RandomForest,1.8189502279181116
AveOccup,GradientBoosting,1.215229855690846
AveOccup,kNN,1.7493875083277024
Latitude,LinearRegression,1.281690431624196
Latitude,Ridge,1.2816905384236448
Latitude,RandomForest,1.0060093802000953
Latitude,GradientBoosting,0.985679118755207
Latitude,kNN,1.1588503613298375
Longitude,LinearRegression,1.3081058483312469
Longitude,Ridge,1.30810583309044
Longitude,RandomForest,0.9255783204793955
Longitude,GradientBoosting,0.9006154081886335
Longitude,kNN,1.1178832396995984
